id,host_id,booking_id,name,city,state,zipcode,latitude,longitude,accommodates,beds,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,neighborhood_group_Ballard,neighborhood_group_Capitol Hill,neighborhood_group_Central Area,neighborhood_group_Downtown,neighborhood_group_Other,neighborhood_group_Other neighborhoods,neighborhood_group_Queen Anne,neighborhood_group_West Seattle,Other_neighborhood,property_type_Apartment,property_type_House,property_type_Other,# Bathrooms_Other,# Bathrooms_one,# Bathrooms_one and one half,# Bathrooms_two,# Bathrooms_two and one half,Bed Type_Other,Bed Type_Real Bed,# Bedrooms_Other,# Bedrooms_one,# Bedrooms_three,# Bedrooms_two,# Bedrooms_zero,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,cancellation policy_moderate,cancellation policy_strict
3697351,18835179,1214,5 Blocks from Pike Place Market,Seattle,WA,98121.0,47.61381379,-122.3425287,2,1.0,f,f,f,108,2014-07-28,2015-12-06,87.0,9.0,7.0,10.0,10.0,10.0,9.0,6.16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5538874,10590193,2406,Nice Cozy Futon in Mapleleaf,Seattle,WA,98125.0,47.70438255,-122.3221015,1,1.0,f,f,f,3,2015-05-28,2015-09-12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7462439,6678025,587,"Capitol Hill Apt, Magnificent Views",Seattle,WA,98122.0,47.61780091,-122.3000238,2,1.0,f,f,f,1,2015-07-26,2015-07-26,80.0,10.0,10.0,10.0,10.0,10.0,8.0,0.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
14386,39377,541,Quiet Cozy Upstairs BR Green Lake,Seattle,WA,98103.0,47.68724568,-122.3346957,2,1.0,f,f,f,30,2010-08-09,2015-11-25,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0.46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1097766,6033000,3099,Sun Drenched in Seattle,Seattle,WA,98125.0,47.72323034,-122.3037318,2,1.0,f,f,f,10,2015-07-12,2015-11-08,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1.69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6424859,13309620,2960,Capitol Hill - Quiet/Great Location,Seattle,WA,98102.0,47.62296852,-122.318915,2,1.0,f,f,f,24,2015-05-25,2015-09-22,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6528192,34143590,909,Cozy Attic Apartment,Seattle,WA,98122.0,47.61396248,-122.3041849,1,1.0,f,f,f,18,2015-06-30,2015-11-25,89.0,9.0,8.0,10.0,10.0,9.0,9.0,2.86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9311687,48334442,1435,Cozy Space in the Heart of Belltown,Seattle,WA,98121.0,47.61744944,-122.3461568,1,1.0,f,f,f,9,2015-11-11,2015-12-27,87.0,9.0,10.0,9.0,9.0,10.0,9.0,4.91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
363064,207419,3229,A min away from Space Needle,Seattle,WA,98109.0,47.62107188,-122.3531244,3,2.0,f,f,f,37,2014-08-02,2015-12-21,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
443942,64955,1303,Beautiful downtown Apt. Top floor,Seattle,WA,98121.0,47.61582776,-122.3407773,2,1.0,f,f,f,13,2014-01-02,2015-08-14,94.0,9.0,10.0,9.0,9.0,10.0,9.0,0.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
