id,name,host_since,host_listings_count,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified
4193,Jessica,2008-11-10,4,"Seattle, Washington, United States",within a few hours,0.88,1,f,t,t
6207,Cory & Amanda,2009-01-08,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
8021,Becky,2009-02-16,4,"Boston, Massachusetts, United States",within a few hours,0.75,1,f,t,t
8993,Maddy,2009-03-03,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
11775,Andrew,2009-03-30,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
14942,Joyce,2009-04-26,3,"Seattle, Washington, United States",within a few hours,0.9,1,f,t,t
19425,Shireen,2009-05-30,1,"Seattle, Washington, United States",N/A,,,f,t,f
20731,Tik,2009-06-09,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
30559,Angielena,2009-08-09,5,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
30604,Ekko,2009-08-09,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
30832,Siena,2009-08-10,2,"Seattle, Washington, United States",within an hour,1,1,t,t,t
31481,Cassie,2009-08-13,2,"Seattle, Washington, United States",within an hour,1,1,t,t,t
31509,David,2009-08-13,4,"Seattle, Washington, United States",within an hour,1,1,t,t,t
33360,Laura,2009-08-23,6,"Seattle, Washington, United States",within an hour,1,1,f,t,f
34943,Kim,2009-08-30,1,"Seattle, Washington, United States",N/A,,,f,t,f
35749,Jess & Joey,2009-09-02,6,"Seattle, Washington, United States",within a day,1,1,f,t,t
39377,Bob,2009-09-18,3,"Seattle, Washington, United States",within a few hours,1,1,f,t,f
44907,Brian,2009-10-10,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
46879,Piper,2009-10-19,1,"Seattle, Washington, United States",N/A,,,f,t,t
50893,Chris,2009-11-02,10,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
53050,Bob,2009-11-10,2,"Seattle, Washington, United States",within an hour,1,,t,t,t
58235,Apryl,2009-11-28,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
62386,Lisa,2009-12-12,4,"Seattle, Washington, United States",within an hour,1,1,f,t,t
64929,Kate,2009-12-21,1,"Seattle, Washington, United States",N/A,,,f,t,t
64955,Beb,2009-12-22,1,"Seattle, Washington, United States",N/A,,,f,t,t
66145,Gene,2009-12-28,15,"Palm Springs, California, United States",within an hour,1,1,f,t,t
68155,Lori,2010-01-06,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
68389,Elle,2010-01-06,1,"New York, New York, United States",within a day,1,1,f,t,t
68641,Angela,2010-01-07,1,"Seattle, Washington and London, England",within a day,0.7,1,f,t,t
73359,Mary,2010-01-25,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
74305,Darik,2010-01-27,34,"Kent, Washington, United States",within a few hours,0.94,1,f,t,t
79450,Brad & Liz,2010-02-09,2,"Seattle, Washington, United States",within an hour,1,1,t,t,t
83099,Cass,2010-02-19,1,"Seattle, Washington, United States",within an hour,0.83,1,f,t,t
86885,Monica,2010-03-01,1,"Seattle, Washington, United States",within a day,1,1,f,t,t
87587,Margot & Anthony,2010-03-02,4,"Seattle, Washington, United States",within a day,1,1,f,t,t
90437,Ian,2010-03-09,1,"Seattle, Washington, United States",within an hour,1,,f,t,t
91286,Tonyhai,2010-03-11,2,"Seattle, Washington, United States",N/A,,1,f,t,f
95510,Peggy,2010-03-18,1,"Seattle, Washington, United States",within a day,1,,f,f,f
102684,Amanda,2010-04-02,1,"Seattle, Washington, United States",within a few hours,0.94,1,t,t,f
103427,Magalie,2010-04-04,84,"West Hollywood, California, United States",within a day,0.87,1,f,t,t
106700,Zvi,2010-04-11,1,"Seattle, Washington, United States",N/A,,,t,t,f
106721,Paula,2010-04-11,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
106972,Kelly,2010-04-11,1,"Seattle, Washington, United States",within an hour,1,1,f,t,f
107542,Arthur,2010-04-12,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
107605,Al,2010-04-12,1,"Seattle, Washington, United States",within a few hours,0.8,1,f,t,f
110120,Melissa,2010-04-18,1,"Seattle, Washington, United States",within a few hours,1,,f,t,f
110248,Jamilah,2010-04-18,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
110917,Erin & Vince,2010-04-19,1,"Seattle, Washington, United States",N/A,,,f,t,t
112093,Roberta & Dan,2010-04-21,1,"Seattle, Washington, United States",within an hour,1,1,t,t,f
119809,Weisi,2010-05-07,1,"Seattle, Washington, United States",a few days or more,0.4,1,f,t,t
129014,Rob And Molly,2010-05-20,2,"Seattle, Washington, United States",within an hour,1,1,f,t,t
149118,Bart,2010-06-21,1,"Seattle, Washington, United States",N/A,,,f,t,t
157262,Visala,2010-07-02,1,"Seattle, Washington, United States",within an hour,1,1,f,t,f
160789,Darrell,2010-07-08,1,"Seattle, Washington, United States",N/A,,,f,t,f
164430,Jill,2010-07-12,3,"Kirkland, Washington, United States",within a few hours,0.9,1,f,t,t
165390,Seth,2010-07-13,5,"Seattle, Washington, United States",within an hour,1,1,t,t,t
167482,Ann,2010-07-15,1,"Seattle, Washington, United States",within a few hours,1,1,t,t,t
168580,Glyn,2010-07-16,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
178552,Rebecca,2010-07-23,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
179030,Harriet,2010-07-24,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
179626,Susan,2010-07-24,2,"Seattle, Washington, United States",within an hour,1,1,t,t,t
180441,Pina,2010-07-25,1,"Seattle, Washington, United States",within a day,0.86,1,f,t,t
181621,Barbara,2010-07-26,1,"Seattle, Washington, United States",within an hour,1,1,f,t,t
184382,Harry & Amanda,2010-07-29,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,f
186257,Nicole,2010-07-30,1,"Seattle, Washington, United States",N/A,,,f,t,t
187753,Kevin & Jennifer,2010-08-01,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
189356,Michael,2010-08-02,1,"Seattle, Washington, United States",within a few hours,1,1,f,t,f
192355,Jane,2010-08-05,2,"Seattle, Washington, United States",within a few hours,1,1,f,t,t
193689,Eric,2010-08-06,1,"Seattle, Washington, United States",within an hour,1,1,t,t,t
197690,Trishann,2010-08-10,3,"Seattle, Washington, United States",N/A,,,f,t,t
204975,Philippe,2010-08-18,1,"Seattle, Washington, United States",N/A,,,f,t,t
