id,host_id,booking_id,name,neighbourhood_group,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
68508,340192,1130,"Olympics, LakeUnion, Downtown....",Cascade,Seattle,WA,98102,47.6366744,-122.323155,Apartment,Entire home/apt,4,1,2,2,Couch,f,strict,f,f,0,,,,,,,,,,
3697351,18835179,1214,5 Blocks from Pike Place Market,Downtown,Seattle,WA,98121,47.61381379,-122.3425287,Apartment,Shared room,2,1,1,1,Futon,f,strict,f,f,108,2014-07-28,2015-12-06,87,9,7,10,10,10,9,6.16
5538874,10590193,2406,Nice Cozy Futon in Mapleleaf,Northgate,Seattle,WA,98125,47.70438255,-122.3221015,Apartment,Shared room,1,1,1,1,Futon,f,strict,f,f,3,2015-05-28,2015-09-12,100,10,10,10,10,10,10,0.41
7462439,6678025,587,"Capitol Hill Apt, Magnificent Views",Central Area,Seattle,WA,98122,47.61780091,-122.3000238,Apartment,Shared room,2,1,1,1,Futon,f,strict,f,f,1,2015-07-26,2015-07-26,80,10,10,10,10,10,8,0.18
14386,39377,541,Quiet Cozy Upstairs BR Green Lake,Other neighborhoods,Seattle,WA,98103,47.68724568,-122.3346957,House,Private room,2,1.5,1,1,Futon,f,strict,f,f,30,2010-08-09,2015-11-25,96,10,9,10,10,10,10,0.46
1097766,6033000,3099,Sun Drenched in Seattle,Lake City,Seattle,WA,98125,47.72323034,-122.3037318,House,Private room,2,1,1,1,Futon,f,strict,f,f,10,2015-07-12,2015-11-08,96,10,10,10,10,9,10,1.69
6424859,13309620,2960,Capitol Hill - Quiet/Great Location,Capitol Hill,Seattle,WA,98102,47.62296852,-122.318915,House,Private room,2,1,1,1,Futon,f,strict,f,f,24,2015-05-25,2015-09-22,100,10,10,10,10,10,10,3.2
6528192,34143590,909,Cozy Attic Apartment,Central Area,Seattle,WA,98122,47.61396248,-122.3041849,Apartment,Private room,1,1,1,1,Futon,f,strict,f,f,18,2015-06-30,2015-11-25,89,9,8,10,10,9,9,2.86
9311687,48334442,1435,Cozy Space in the Heart of Belltown,Downtown,Seattle,WA,98121,47.61744944,-122.3461568,Apartment,Private room,1,1,1,1,Futon,f,strict,f,f,9,2015-11-11,2015-12-27,87,9,10,9,9,10,9,4.91
363064,207419,3229,A min away from Space Needle,Queen Anne,Seattle,WA,98109,47.62107188,-122.3531244,Apartment,Entire home/apt,3,1,0,2,Futon,f,strict,f,f,37,2014-08-02,2015-12-21,97,10,10,10,10,10,10,2.13
443942,64955,1303,Beautiful downtown Apt. Top floor,Downtown,Seattle,WA,98121,47.61582776,-122.3407773,Apartment,Entire home/apt,2,1,1,1,Futon,f,strict,f,f,13,2014-01-02,2015-08-14,94,9,10,9,9,10,9,0.53
10118341,1237248,3798,Fremont Lighthouse Mother-in-Law,Other neighborhoods,Seattle,WA,98103,47.65897611,-122.3549146,House,Entire home/apt,2,1,0,1,Futon,f,strict,f,f,1,2016-01-02,2016-01-02,100,10,10,10,10,10,10,1
5310503,13439814,3134,Shared Roosevelt Room,Other neighborhoods,Seattle,WA,98115,47.68527202,-122.3175512,Townhouse,Shared room,1,1.5,1,1,Airbed,f,strict,f,f,18,2015-02-24,2015-11-09,99,10,10,10,10,10,10,1.71
492287,2433229,1195,Seattle Discovery Birdhouse,Magnolia,Seattle,WA,98199,47.65312176,-122.4098169,House,Private room,2,1,1,1,Airbed,f,strict,t,t,71,2012-06-03,2015-11-29,93,10,10,10,10,9,10,1.62
1114695,165390,424,"99walkscore, 3br, deck, zoo,central",Other neighborhoods,Seattle,WA,98103,47.66121706,-122.3394242,House,Entire home/apt,8,2.5,3,3,Airbed,f,strict,f,f,38,2013-06-17,2015-11-13,95,10,10,10,10,10,9,1.22
9432322,7612120,1645,Seattle Downtown Convention Center,Downtown,Seattle,WA,98101,47.60808608,-122.3279915,Apartment,Entire home/apt,1,1,0,1,Airbed,f,strict,f,f,0,,,,,,,,,,
1080097,5941255,1704,Seattle's unique downtown loft,Downtown,Seattle,WA,98134,47.59386242,-122.3344953,Loft,Private room,5,1,1,3,Pull-out Sofa,t,strict,f,f,100,2013-04-21,2015-10-07,93,9,10,10,10,9,9,3.03
1815304,9508208,1584,Best Location in Downtown Seattle!,Downtown,Seattle,WA,98101,47.61281849,-122.3276147,Apartment,Private room,2,1,1,1,Pull-out Sofa,t,strict,t,t,139,2013-11-08,2015-12-31,91,9,8,10,10,10,9,5.29
