id,price,weekly_price,monthly_price,guests_included,extra_people,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365
1,$85.00 ,,,2,$5.00 ,,,1,365,t,14,41,71,346
2,$150.00 ,"$1,000.00 ","$3,000.00 ",1,$0.00 ,$100.00 ,$40.00 ,2,90,t,13,13,16,291
3,$975.00 ,,,10,$25.00 ,"$1,000.00 ",$300.00 ,4,30,t,1,6,17,220
4,$100.00 ,$650.00 ,"$2,300.00 ",1,$0.00 ,,,1,1125,t,0,0,0,143
5,$450.00 ,,,6,$15.00 ,$700.00 ,$125.00 ,1,1125,t,30,60,90,365
6,$120.00 ,$800.00 ,,1,$30.00 ,,$40.00 ,1,6,t,0,0,27,302
7,$80.00 ,$575.00 ,,1,$10.00 ,$150.00 ,,3,14,t,20,49,71,346
8,$60.00 ,$360.00 ,,1,$0.00 ,$150.00 ,$25.00 ,2,7,t,22,42,42,100
9,$90.00 ,$500.00 ,"$1,700.00 ",1,$0.00 ,,,3,1125,t,6,36,66,341
10,$150.00 ,"$1,000.00 ","$3,000.00 ",1,$0.00 ,$100.00 ,$40.00 ,2,365,t,6,19,49,324
11,$95.00 ,$595.00 ,,2,$15.00 ,,$15.00 ,3,7,t,0,0,0,153
12,$99.00 ,$800.00 ,"$2,000.00 ",1,$0.00 ,$500.00 ,$150.00 ,3,1125,t,21,21,21,229
13,$245.00 ,"$1,575.00 ","$5,800.00 ",1,$0.00 ,$300.00 ,$95.00 ,3,14,t,30,60,90,362
14,$165.00 ,,"$5,000.00 ",4,$20.00 ,$400.00 ,$85.00 ,2,1125,t,13,40,63,337
15,$461.00 ,,,8,$50.00 ,"$1,500.00 ",$300.00 ,3,29,t,19,40,65,327
16,$109.00 ,,,1,$0.00 ,,$89.00 ,3,15,t,30,60,69,69
17,$66.00 ,,,1,$25.00 ,$100.00 ,$35.00 ,1,10,t,29,59,89,364
18,$99.00 ,,,1,$0.00 ,$100.00 ,$15.00 ,2,14,t,29,52,82,171
19,$200.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,125
20,$700.00 ,"$4,100.00 ",,1,$0.00 ,$500.00 ,$250.00 ,3,30,t,24,54,84,359
21,$110.00 ,$750.00 ,"$2,500.00 ",1,$0.00 ,,,1,1125,t,29,55,85,360
22,$99.00 ,$568.00 ,"$2,029.00 ",1,$10.00 ,,$15.00 ,1,1125,t,30,60,90,365
23,$450.00 ,"$3,000.00 ",,1,$0.00 ,,,4,1125,t,0,0,0,53
24,$75.00 ,$350.00 ,,1,$0.00 ,,,1,1125,t,30,60,90,365
25,$600.00 ,,,1,$0.00 ,$500.00 ,$150.00 ,3,1125,t,0,0,0,212
26,$450.00 ,,,6,$50.00 ,$500.00 ,$200.00 ,4,1125,t,0,3,33,293
27,$150.00 ,,,1,$0.00 ,$250.00 ,$35.00 ,1,1125,t,0,0,0,49
28,$45.00 ,$360.00 ,,1,$0.00 ,$150.00 ,$25.00 ,2,7,t,22,49,49,107
29,$300.00 ,,,1,$0.00 ,$500.00 ,$125.00 ,2,1125,t,24,54,84,356
30,$80.00 ,$500.00 ,,3,$50.00 ,,$65.00 ,2,1125,t,0,1,30,305
31,$175.00 ,"$1,000.00 ","$3,200.00 ",1,$0.00 ,,$40.00 ,2,365,t,19,46,62,323
32,$325.00 ,,,6,$60.00 ,$500.00 ,$100.00 ,2,1125,t,23,50,77,162
33,$175.00 ,$699.00 ,"$2,388.00 ",1,$0.00 ,$200.00 ,$80.00 ,4,120,t,0,0,9,213
34,$222.00 ,"$1,325.00 ","$4,650.00 ",7,$75.00 ,$500.00 ,$250.00 ,2,1125,t,0,0,0,2
35,$159.00 ,,,1,$0.00 ,$250.00 ,$99.00 ,1,1125,t,11,38,68,309
36,$125.00 ,$800.00 ,"$2,700.00 ",2,$25.00 ,,$50.00 ,2,365,t,30,60,90,353
37,$348.00 ,"$2,500.00 ",,6,$20.00 ,$750.00 ,$150.00 ,3,1125,t,0,0,0,153
38,$45.00 ,$450.00 ,"$1,500.00 ",1,$0.00 ,,,1,1125,t,28,58,88,363
39,$150.00 ,$950.00 ,"$2,950.00 ",2,$25.00 ,,$50.00 ,2,365,t,16,46,76,351
40,$80.00 ,,,1,$0.00 ,,$20.00 ,3,1125,t,12,38,40,201
41,$110.00 ,,,2,$15.00 ,$100.00 ,$40.00 ,2,1125,t,19,46,76,351
42,$148.00 ,,,2,$20.00 ,,$100.00 ,3,365,t,0,13,43,310
