id,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_phone_verification,reviews_per_month
241032,Stylish Queen Anne Apartment,956883,Maija,2011-08-11,"Seattle, Washington, United States",within a few hours,96.0,100.0,0,Queen Anne,3.0,3.0,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",United States,47.636289038357184,-122.37102519997764,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,85.0,,,,61.71090387374462,2,5.0,1,365,4 weeks ago,1,14,41,71,346,207,2011-11-01,2016-01-02,95.0,10.0,10.0,10.0,10.0,9.0,10.0,f,0,moderate,f,4.07
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,2013-02-21,"Seattle, Washington, United States",within an hour,98.0,100.0,1,Queen Anne,6.0,6.0,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",United States,47.63912312136253,-122.36566646439582,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,150.0,1000.0,3000.0,100.0,40.0,1,0.0,2,90,today,1,13,13,16,291,43,2013-08-19,2015-12-29,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,0,strict,t,1.48
3308979,New Modern House-Amazing water view,16708587,Jill,2014-06-12,"Seattle, Washington, United States",within a few hours,67.0,100.0,0,Queen Anne,2.0,2.0,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",United States,47.62972413157736,-122.3694831756176,House,Entire home/apt,11,4.5,5.0,7.0,Real Bed,975.0,,,1000.0,300.0,10,25.0,4,30,5 weeks ago,1,1,6,17,220,20,2014-07-30,2015-09-03,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,0,strict,f,1.15
7421966,Queen Anne Chateau,9851441,Emily,2013-11-06,"Seattle, Washington, United States",,94.88679817905918,99.96715927750411,0,Queen Anne,1.0,1.0,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",United States,47.638473201766416,-122.36927912263018,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,100.0,650.0,2300.0,,61.71090387374462,1,0.0,1,1125,6 months ago,1,0,0,0,143,0,,,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,f,0,flexible,f,2.078918834221248
278830,Charming craftsman 3 bdm house,1452570,Emily,2011-11-29,"Seattle, Washington, United States",within an hour,100.0,99.96715927750411,0,Queen Anne,2.0,2.0,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",United States,47.63291840276724,-122.37247063402224,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,450.0,,,700.0,125.0,6,15.0,1,1125,7 weeks ago,1,30,60,90,365,38,2012-07-10,2015-10-24,92.0,9.0,9.0,10.0,10.0,9.0,9.0,f,0,strict,f,0.89
5956968,Private unit in a 1920s mansion,326758,Andrew,2010-12-25,"Seattle, Washington, United States",,94.88679817905918,99.96715927750411,0,Queen Anne,1.0,1.0,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",United States,47.63052548240193,-122.36617406518856,House,Private room,2,1.0,1.0,1.0,Real Bed,120.0,800.0,,,40.0,1,30.0,1,6,2 weeks ago,1,0,0,27,302,17,2015-06-11,2015-09-28,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,0,strict,f,2.45
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,2012-05-30,"Seattle, Washington, United States",within an hour,100.0,100.0,1,Queen Anne,1.0,1.0,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",United States,47.63660544532006,-122.36851905844937,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,575.0,,150.0,61.71090387374462,1,10.0,3,14,5 weeks ago,1,20,49,71,346,58,2014-01-27,2015-12-07,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,0,moderate,f,2.46
856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,2012-10-30,"Seattle, Washington, United States",within an hour,100.0,100.0,1,Queen Anne,5.0,5.0,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",United States,47.64016054121466,-122.37585597885769,Cabin,Private room,2,1.0,1.0,1.0,Real Bed,60.0,360.0,,150.0,25.0,1,0.0,2,7,yesterday,1,22,42,42,100,173,2013-01-03,2016-01-01,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,0,strict,t,4.73
4948745,Urban Charm || Downtown || Views,2166277,Aliza,2012-04-18,"Seattle, Washington, United States",,94.88679817905918,100.0,0,Queen Anne,1.0,1.0,Queen Anne,Seattle,WA,98109,Seattle,"Seattle, WA",United States,47.63241029982899,-122.35721606914028,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,90.0,500.0,1700.0,,61.71090387374462,1,0.0,3,1125,5 months ago,1,6,36,66,341,8,2015-06-22,2015-08-17,97.0,10.0,9.0,10.0,9.0,10.0,10.0,f,0,strict,f,1.22
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,2013-02-21,"Seattle, Washington, United States",within an hour,98.0,100.0,1,Queen Anne,6.0,6.0,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",United States,47.63749172022628,-122.3668885909212,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,150.0,1000.0,3000.0,100.0,40.0,1,0.0,2,365,today,1,6,19,49,324,32,2014-04-27,2015-12-20,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,0,strict,t,1.55
